unit_id,lang,tokenizer,tokens,whitespace_words,utf8_bytes,codepoints,tok_per_word,tok_per_byte
article_20,hin,mbert,38,32,406,156,1.1875,0.09359605911330049
article_20,tam,gpt2,449,13,449,159,34.53846153846154,1.0
article_20,tam,mbert,62,13,449,159,4.769230769230769,0.13808463251670378
article_20,kan,gpt2,317,12,322,116,26.416666666666668,0.984472049689441
article_20,kan,mbert,64,12,322,116,5.333333333333333,0.19875776397515527
article_21,eng,gpt2,83,77,451,451,1.077922077922078,0.18403547671840353
article_21,eng,mbert,88,77,451,451,1.1428571428571428,0.1951219512195122
article_21,hin,gpt2,696,87,1176,450,8.0,0.5918367346938775
article_21,hin,mbert,140,87,1176,450,1.6091954022988506,0.11904761904761904
article_21,tam,gpt2,1687,56,1687,605,30.125,1.0
article_21,tam,mbert,238,56,1687,605,4.25,0.14107883817427386
article_21,kan,gpt2,1265,47,1296,466,26.914893617021278,0.9760802469135802
article_21,kan,mbert,218,47,1296,466,4.638297872340425,0.16820987654320987
article_22,eng,gpt2,60,52,343,341,1.1538461538461537,0.1749271137026239
article_22,eng,mbert,66,52,343,341,1.2692307692307692,0.1924198250728863
article_22,hin,gpt2,530,56,882,332,9.464285714285714,0.6009070294784581
article_22,hin,mbert,91,56,882,332,1.625,0.10317460317460317
article_22,tam,gpt2,1125,38,1125,401,29.605263157894736,1.0
article_22,tam,mbert,152,38,1125,401,4.0,0.1351111111111111
article_22,kan,gpt2,884,33,901,325,26.78787878787879,0.9811320754716981
article_22,kan,mbert,151,33,901,325,4.575757575757576,0.16759156492785793
article_23,eng,gpt2,99,86,529,529,1.1511627906976745,0.18714555765595464
article_23,eng,mbert,110,86,529,529,1.2790697674418605,0.20793950850661624
article_23,hin,gpt2,928,118,1559,601,7.864406779661017,0.5952533675432969
article_23,hin,mbert,180,118,1559,601,1.5254237288135593,0.11545862732520847
article_23,tam,gpt2,1950,61,1950,696,31.9672131147541,1.0
article_23,tam,mbert,301,61,1950,696,4.934426229508197,0.15435897435897436
article_23,kan,gpt2,1399,54,1422,516,25.90740740740741,0.9838255977496484
article_23,kan,mbert,271,54,1422,516,5.018518518518518,0.19057665260196907
article_24,eng,gpt2,21,19,124,124,1.105263157894737,0.1693548387096774
article_24,eng,mbert,27,19,124,124,1.4210526315789473,0.21774193548387097
article_24,hin,gpt2,231,27,378,144,8.555555555555555,0.6111111111111112
article_24,hin,mbert,49,27,378,144,1.8148148148148149,0.12962962962962962
article_24,tam,gpt2,351,12,351,127,29.25,1.0
article_24,tam,mbert,53,12,351,127,4.416666666666667,0.150997150997151
article_24,kan,gpt2,300,11,305,109,27.272727272727273,0.9836065573770492
article_24,kan,mbert,67,11,305,109,6.090909090909091,0.21967213114754097
article_25,eng,gpt2,100,82,520,518,1.2195121951219512,0.19230769230769232
article_25,eng,mbert,109,82,520,518,1.329268292682927,0.20961538461538462
article_25,hin,gpt2,829,101,1406,542,8.207920792079207,0.5896159317211949
article_25,hin,mbert,187,101,1406,542,1.8514851485148516,0.13300142247510668
article_25,tam,gpt2,1756,62,1756,634,28.322580645161292,1.0
article_25,tam,mbert,268,62,1756,634,4.32258064516129,0.15261958997722094
article_25,kan,gpt2,1363,63,1381,509,21.634920634920636,0.9869659666908037
article_25,kan,mbert,254,63,1381,509,4.031746031746032,0.18392469225199132
article_26,eng,gpt2,127,116,747,747,1.0948275862068966,0.17001338688085676
article_26,eng,mbert,135,116,747,747,1.1637931034482758,0.18072289156626506
article_26,hin,gpt2,1112,128,1872,712,8.6875,0.594017094017094
article_26,hin,mbert,236,128,1872,712,1.84375,0.12606837606837606
article_26,tam,gpt2,2519,82,2519,903,30.71951219512195,1.0
article_26,tam,mbert,355,82,2519,903,4.329268292682927,0.1409289400555776
article_26,kan,gpt2,1871,69,1905,687,27.115942028985508,0.9821522309711286
article_26,kan,mbert,319,69,1905,687,4.6231884057971016,0.16745406824146983
article_27,eng,gpt2,58,54,325,325,1.0740740740740742,0.17846153846153845
article_27,eng,mbert,62,54,325,325,1.1481481481481481,0.19076923076923077
article_27,hin,gpt2,493,56,820,312,8.803571428571429,0.6012195121951219
article_27,hin,mbert,88,56,820,312,1.5714285714285714,0.1073170731707317
article_27,tam,gpt2,1004,33,1004,360,30.424242424242426,1.0
article_27,tam,mbert,141,33,1004,360,4.2727272727272725,0.14043824701195218
article_27,kan,gpt2,805,30,821,297,26.833333333333332,0.9805115712545676
article_27,kan,mbert,150,30,821,297,5.0,0.18270401948842874
article_28,eng,gpt2,25,24,142,142,1.0416666666666667,0.176056338028169
article_28,eng,mbert,27,24,142,142,1.125,0.19014084507042253
article_28,hin,gpt2,278,28,462,172,9.928571428571429,0.6017316017316018
article_28,hin,mbert,40,28,462,172,1.4285714285714286,0.08658008658008658
article_28,tam,gpt2,446,13,446,158,34.30769230769231,1.0
article_28,tam,mbert,61,13,446,158,4.6923076923076925,0.1367713004484305
article_28,kan,gpt2,417,14,425,151,29.785714285714285,0.9811764705882353
article_28,kan,mbert,76,14,425,151,5.428571428571429,0.17882352941176471
article_29,eng,gpt2,100,95,563,563,1.0526315789473684,0.17761989342806395
article_29,eng,mbert,109,95,563,563,1.1473684210526316,0.1936056838365897
article_29,hin,gpt2,1000,105,1666,626,9.523809523809524,0.6002400960384153
article_29,hin,mbert,176,105,1666,626,1.6761904761904762,0.1056422569027611
article_29,tam,gpt2,2013,58,2013,715,34.706896551724135,1.0
article_29,tam,mbert,272,58,2013,715,4.689655172413793,0.1351217088922007
article_29,kan,gpt2,1574,59,1601,577,26.677966101694917,0.9831355402873204
article_29,kan,mbert,284,59,1601,577,4.813559322033898,0.1773891317926296
article_30,eng,gpt2,43,41,224,224,1.048780487804878,0.19196428571428573
article_30,eng,mbert,47,41,224,224,1.146341463414634,0.20982142857142858
article_30,hin,gpt2,413,55,702,272,7.509090909090909,0.5883190883190883
article_30,hin,mbert,81,55,702,272,1.4727272727272727,0.11538461538461539
article_30,tam,gpt2,896,28,896,318,32.0,1.0
article_30,tam,mbert,126,28,896,318,4.5,0.140625
article_30,kan,gpt2,697,23,718,256,30.304347826086957,0.9707520891364902
article_30,kan,mbert,133,23,718,256,5.782608695652174,0.18523676880222842
